JavaRegex;SUFFIX;2;2
SCShiftAnd;PREFIX;2;4
SCShiftAnd;PREFIX;2;8
SCShiftAnd;PREFIX;2;16
SCBNDM;FACTOR;2;32
SCBNDM;FACTOR;2;64
SCBNDM;FACTOR;2;128
SCBNDM;FACTOR;2;256
JavaIndexOf;NAIVE;4;2
SCShiftAnd;PREFIX;4;4
SCShiftAnd;PREFIX;4;8
SCBNDM;FACTOR;4;16
SCBNDM;FACTOR;4;32
SCBNDM;FACTOR;4;64
SCBNDM;FACTOR;4;128
SCBNDM;FACTOR;4;256
JavaIndexOf;NAIVE;8;2
JavaIndexOf;NAIVE;8;4
SCHorspool;SUFFIX;8;8
SCBNDM;FACTOR;8;16
SCBNDM;FACTOR;8;32
SCBNDM;FACTOR;8;64
SCBNDM;FACTOR;8;128
SCBNDM;FACTOR;8;256
JavaIndexOf;NAIVE;16;2
JavaIndexOf;NAIVE;16;4
SCHorspool;SUFFIX;16;8
SCHorspool;SUFFIX;16;16
SCBNDM;FACTOR;16;32
SCBNDM;FACTOR;16;64
SCBNDM;FACTOR;16;128
SCBNDM;FACTOR;16;256
JavaIndexOf;NAIVE;32;2
JavaIndexOf;NAIVE;32;4
JavaIndexOf;NAIVE;32;8
JavaRegex;SUFFIX;32;16
JavaRegex;SUFFIX;32;32
SCBNDM;FACTOR;32;64
SCHorspool;SUFFIX;32;128
SCHorspool;SUFFIX;32;256
JavaIndexOf;NAIVE;64;2
JavaIndexOf;NAIVE;64;4
JavaIndexOf;NAIVE;64;8
SCHorspool;SUFFIX;64;16
SCHorspool;SUFFIX;64;32
SCHorspool;SUFFIX;64;64
SCHorspool;SUFFIX;64;128
SCHorspool;SUFFIX;64;256
JavaIndexOf;NAIVE;128;2
JavaIndexOf;NAIVE;128;4
JavaIndexOf;NAIVE;128;8
SCHorspool;SUFFIX;128;16
SCHorspool;SUFFIX;128;32
SCHorspool;SUFFIX;128;64
SCSunday;SUFFIX;128;128
JavaRegex;SUFFIX;128;256
JavaIndexOf;NAIVE;256;2
JavaIndexOf;NAIVE;256;4
JavaIndexOf;NAIVE;256;8
JavaIndexOf;NAIVE;256;16
SCHorspool;SUFFIX;256;32
SCSunday;SUFFIX;256;64
SCSunday;SUFFIX;256;128
SCSunday;SUFFIX;256;256
