JavaIndexOfMulti;NAIVE;2;4
JavaRegexMulti;SUFFIX;2;8
SCAhoCorasick;PREFIX;2;16
SCSetBackwardOracleMatching;FACTOR;2;32
SCSetBackwardOracleMatching;FACTOR;2;64
SCSetBackwardOracleMatching;FACTOR;2;128
SCSetBackwardOracleMatching;FACTOR;2;256
JavaRegexMulti;SUFFIX;4;2
JavaIndexOfMulti;NAIVE;4;4
SCAhoCorasick;PREFIX;4;8
SCWuManber;SUFFIX;4;16
SCWuManber;SUFFIX;4;32
SCSetBackwardOracleMatching;FACTOR;4;64
SCSetBackwardOracleMatching;FACTOR;4;128
SCSetBackwardOracleMatching;FACTOR;4;256
JavaIndexOfMulti;NAIVE;8;2
JavaIndexOfMulti;NAIVE;8;4
ACAhoCorasick;SPECIAL;8;8
SCWuManber;SUFFIX;8;16
SCWuManber;SUFFIX;8;32
SCSetBackwardOracleMatching;FACTOR;8;64
SCSetBackwardOracleMatching;FACTOR;8;128
SCSetBackwardOracleMatching;FACTOR;8;256
JavaIndexOfMulti;NAIVE;16;2
JavaIndexOfMulti;NAIVE;16;4
SCSetHorspool;SUFFIX;16;8
SCWuManber;SUFFIX;16;16
SCWuManber;SUFFIX;16;32
SCWuManber;SUFFIX;16;64
SCWuManber;SUFFIX;16;128
SCSetBackwardOracleMatching;FACTOR;16;256
JavaIndexOfMulti;NAIVE;32;2
JavaIndexOfMulti;NAIVE;32;4
JavaIndexOfMulti;NAIVE;32;8
SCWuManber;SUFFIX;32;16
SCWuManber;SUFFIX;32;32
SCWuManber;SUFFIX;32;64
SCWuManber;SUFFIX;32;128
SCSetBackwardOracleMatching;FACTOR;32;256
JavaIndexOfMulti;NAIVE;64;2
JavaIndexOfMulti;NAIVE;64;4
JavaIndexOfMulti;NAIVE;64;8
SCSetHorspool;SUFFIX;64;16
SCSetHorspool;SUFFIX;64;32
SCWuManber;SUFFIX;64;64
SCWuManber;SUFFIX;64;128
SCSetBackwardOracleMatching;FACTOR;64;256
JavaIndexOfMulti;NAIVE;128;2
JavaIndexOfMulti;NAIVE;128;4
JavaIndexOfMulti;NAIVE;128;8
SCSetHorspool;SUFFIX;128;16
SCSetHorspool;SUFFIX;128;32
SCSetHorspool;SUFFIX;128;64
SCSetHorspool;SUFFIX;128;128
SCSetHorspool;SUFFIX;128;256
JavaIndexOfMulti;NAIVE;256;2
JavaIndexOfMulti;NAIVE;256;4
JavaIndexOfMulti;NAIVE;256;8
SCSetHorspool;SUFFIX;256;16
SCSetHorspool;SUFFIX;256;32
SCSetHorspool;SUFFIX;256;64
SCSetHorspool;SUFFIX;256;128
SCSetHorspool;SUFFIX;256;256
