JavaIndexOfMulti;2;8
SCAhoCorasick;2;16
ACAhoCorasick;2;32
SCSetBackwardOracleMatching;2;64
SCSetBackwardOracleMatching;2;128
SCSetBackwardOracleMatching;2;256
JavaIndexOfMulti;4;4
SCAhoCorasick;4;8
ACAhoCorasick;4;16
SCSetBackwardOracleMatching;4;32
SCSetBackwardOracleMatching;4;64
SCSetBackwardOracleMatching;4;128
SCSetBackwardOracleMatching;4;256
JavaIndexOfMulti;8;4
ACAhoCorasick;8;8
ACAhoCorasick;8;16
SCSetBackwardOracleMatching;8;32
SCSetBackwardOracleMatching;8;64
SCSetBackwardOracleMatching;8;128
SCSetBackwardOracleMatching;8;256
JavaIndexOfMulti;16;2
SCAhoCorasick;16;4
ACAhoCorasick;16;8
SCSetBackwardOracleMatching;16;16
SCSetBackwardOracleMatching;16;32
SCSetBackwardOracleMatching;16;64
SCSetBackwardOracleMatching;16;128
SCSetBackwardOracleMatching;16;256
JavaIndexOfMulti;32;2
SCWuManber;32;4
ACAhoCorasick;32;8
SCSetBackwardOracleMatching;32;16
SCSetBackwardOracleMatching;32;32
SCSetBackwardOracleMatching;32;64
SCSetBackwardOracleMatching;32;128
SCSetBackwardOracleMatching;32;256
SCWuManber;64;2
ACAhoCorasick;64;4
ACAhoCorasick;64;8
SCSetBackwardOracleMatching;64;16
SCSetBackwardOracleMatching;64;32
SCSetBackwardOracleMatching;64;64
SCSetBackwardOracleMatching;64;128
SCSetBackwardOracleMatching;64;256
ACAhoCorasick;128;2
ACAhoCorasick;128;4
ACAhoCorasick;128;8
ACAhoCorasick;128;16
SCSetBackwardOracleMatching;128;32
SCSetBackwardOracleMatching;128;64
SCSetBackwardOracleMatching;128;128
SCSetBackwardOracleMatching;128;256
ACAhoCorasick;256;2
ACAhoCorasick;256;4
ACAhoCorasick;256;8
ACAhoCorasick;256;16
SCSetBackwardOracleMatching;256;32
SCSetBackwardOracleMatching;256;64
SCSetBackwardOracleMatching;256;128
SCSetBackwardOracleMatching;256;256
