name,family,alphabet,pattern
JavaRegexMulti,SUFFIX,2,4
JavaRegexMulti,SUFFIX,2,8
SCAhoCorasick,PREFIX,2,16
SCSetBackwardOracleMatching,FACTOR,2,32
SCSetBackwardOracleMatching,FACTOR,2,64
SCSetBackwardOracleMatching,FACTOR,2,128
SCSetBackwardOracleMatching,FACTOR,2,256
JavaIndexOfMulti,NAIVE,4,2
SCAhoCorasick,PREFIX,4,4
SCWuManber,SUFFIX,4,8
SCSetBackwardOracleMatching,FACTOR,4,16
SCSetBackwardOracleMatching,FACTOR,4,32
SCSetBackwardOracleMatching,FACTOR,4,64
SCSetBackwardOracleMatching,FACTOR,4,128
SCSetBackwardOracleMatching,FACTOR,4,256
JavaIndexOfMulti,NAIVE,8,2
SCAhoCorasick,PREFIX,8,4
SCWuManber,SUFFIX,8,8
SCWuManber,SUFFIX,8,16
SCSetBackwardOracleMatching,FACTOR,8,32
SCSetBackwardOracleMatching,FACTOR,8,64
SCSetBackwardOracleMatching,FACTOR,8,128
SCSetBackwardOracleMatching,FACTOR,8,256
SCSetHorspool,SUFFIX,16,2
JavaIndexOfMulti,NAIVE,16,4
SCSetHorspool,SUFFIX,16,8
SCWuManber,SUFFIX,16,16
SCSetBackwardOracleMatching,FACTOR,16,32
SCSetBackwardOracleMatching,FACTOR,16,64
SCSetBackwardOracleMatching,FACTOR,16,128
SCSetBackwardOracleMatching,FACTOR,16,256
JavaIndexOfMulti,NAIVE,32,2
JavaIndexOfMulti,NAIVE,32,4
SCSetHorspool,SUFFIX,32,8
SCSetHorspool,SUFFIX,32,16
SCSetBackwardOracleMatching,FACTOR,32,32
SCSetBackwardOracleMatching,FACTOR,32,64
SCSetBackwardOracleMatching,FACTOR,32,128
SCSetBackwardOracleMatching,FACTOR,32,256
JavaIndexOfMulti,NAIVE,64,2
JavaIndexOfMulti,NAIVE,64,4
JavaIndexOfMulti,NAIVE,64,8
SCSetHorspool,SUFFIX,64,16
SCWuManber,SUFFIX,64,32
SCSetBackwardOracleMatching,FACTOR,64,64
SCSetBackwardOracleMatching,FACTOR,64,128
SCSetBackwardOracleMatching,FACTOR,64,256
JavaIndexOfMulti,NAIVE,128,2
JavaIndexOfMulti,NAIVE,128,4
JavaIndexOfMulti,NAIVE,128,8
SCSetHorspool,SUFFIX,128,16
SCSetHorspool,SUFFIX,128,32
SCSetBackwardOracleMatching,FACTOR,128,64
SCSetBackwardOracleMatching,FACTOR,128,128
SCSetBackwardOracleMatching,FACTOR,128,256
JavaIndexOfMulti,NAIVE,256,2
JavaIndexOfMulti,NAIVE,256,4
JavaIndexOfMulti,NAIVE,256,8
SCSetHorspool,SUFFIX,256,16
SCSetHorspool,SUFFIX,256,32
SCSetHorspool,SUFFIX,256,64
SCSetHorspool,SUFFIX,256,128
SCSetBackwardOracleMatching,FACTOR,256,256
