"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: alphabetSize","Param: patternSize"
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"281,033798","22,170629","ms/op",2,2
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"509,368158","7,338844","ms/op",2,4
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"1925,228897","98,754044","ms/op",2,8
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"2580,158257","85,979520","ms/op",2,16
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"2564,326152","10,699193","ms/op",2,32
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"2704,646604","4,683213","ms/op",2,64
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"2795,468493","12,939009","ms/op",2,128
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"3296,109778","2178,272413","ms/op",2,256
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"3516,111700","10,410025","ms/op",2,512
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"4502,776571","29,150708","ms/op",2,1024
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"423,611213","38,623858","ms/op",4,2
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"1145,225986","234,225249","ms/op",4,4
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"1111,469979","22,245008","ms/op",4,8
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"1115,813754","415,808061","ms/op",4,16
"com.almondtools.stringbench.singlepattern.byteseek.BSBoyerMooreHorspoolBenchmark.benchmarkFindInFile","avgt",1,5,"1127,913194","239,137513","ms/op",4,32
